VL1;VL2;VL3
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.00048375949469762775;1.4434912287797294e-06;
0.004574372868979038;1.3649483236843618e-05;
0.013225130891807206;3.9462502857375256e-05;
0.018020041177486637;5.3770048272044926e-05;
0.020737631280052717;6.187907252783692e-05;
0.023483677823483373;7.007300803238069e-05;
0.021690922049015692;6.472359936102053e-05;
0.017543395793005147;5.2347784855453136e-05;
0.007213707759167566;2.152500155856832e-05;
0.0021271189546263336;6.347115844193222e-06;
1.422822043228317e-05;4.2455624375874396e-08;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0004908736049137693;1.4647190409676667e-06;
0.004695312742653446;1.4010356044038553e-05;
0.013844058480611522;4.130932251772579e-05;
0.01888796262385591;5.635984135897327e-05;
0.021747834930744826;6.489342185852401e-05;
0.026016301060429778;7.763010917128634e-05;
0.024081263081639263;7.185614425616742e-05;
0.019556688984173214;5.8355255704639354e-05;
0.008785926116934857;2.621634805210244e-05;
0.0027460465434306514;8.19393550454376e-06;
2.134233064842475e-05;6.36834365638116e-08;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0005193300457783357;1.5496302897194156e-06;
0.00507236058410895;1.5135430089999222e-05;
0.014605268273738673;4.358069842183507e-05;
0.019684742968063766;5.8737356324022226e-05;
0.02249481650343969;6.712234213825742e-05;
0.020317898777300367;6.0626631608748645e-05;
0.01867453931737166;5.572300699333515e-05;
0.01504634310713945;4.489682277748718e-05;
0.005278669780377056;1.5751036643449402e-05;
0.0015935606884157148;4.755029930097932e-06;
2.134233064842475e-05;6.36834365638116e-08;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0;0.0;
0.0005122159355621941;1.5284024775314783e-06;
0.005556120078806578;1.6578921318778955e-05;
0.01621305718258667;4.837818397630887e-05;
